City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Isangel,VU,73.51,scattered clouds,-19.55,169.2667,Tanna Lodge
16,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
20,Carnarvon,AU,64.26,clear sky,-24.8667,113.6333,Hospitality Carnarvon
23,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
29,Rikitea,PF,74.5,light rain,-23.1203,-134.9692,People ThankYou
31,Lagoa,PT,68.59,broken clouds,39.05,-27.9833,Casa Das Faias
35,Pacasmayo,PE,67.32,scattered clouds,-7.4006,-79.5714,Hotel Libertad
38,Quatre Cocos,MU,71.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
49,Hualmay,PE,65.39,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
50,Lazurne,UA,70.36,clear sky,46.084,32.5295,New Manna Hostel
51,Kaeo,NZ,65.32,overcast clouds,-35.1,173.7833,Bushido Lodge
56,Ilheus,BR,72.68,overcast clouds,-14.7889,-39.0494,Barravento Hotel
61,Castro,BR,70.09,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
65,East London,ZA,61.29,clear sky,-33.0153,27.9116,Tu Casa
66,Temyasovo,RU,62.67,clear sky,52.9933,58.1014,
73,Ahipara,NZ,60.28,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
75,Kodiak,US,61.05,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
77,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
80,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
83,Sovetskaya,RU,65.68,few clouds,44.7769,41.1722,
90,Huanren,CN,66.76,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
95,Tocopilla,CL,66.11,overcast clouds,-22.092,-70.1979,Hotel Galvarino
105,Omboue,GA,70.75,scattered clouds,-1.5746,9.2618,Hotel Olako
108,Carballo,ES,71.78,clear sky,43.213,-8.691,Pazo do Souto
122,Nizhniy Ufaley,RU,63.16,light rain,55.9153,59.9842,
124,Qinggang,CN,68.23,clear sky,46.6833,126.0833,Gold Hotel
128,Tanah Merah,MY,74.61,light rain,5.8,102.15,Humaira Hotel
129,Shuangyang,CN,66.83,overcast clouds,43.5242,125.6736,Boutique Chatelet
133,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
136,Fairbanks,US,74.57,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
144,Vac,HU,68.38,broken clouds,47.7759,19.1361,Fónagy és Walter Vendég- és Borház
145,Lata,PT,70.07,broken clouds,40.1629,-8.3327,Casa Maquia
146,Truro,GB,74.48,clear sky,50.2653,-5.0544,Mannings Hotel
147,Mamlyutka,KZ,67.48,overcast clouds,54.9375,68.5394,
150,Thompson,CA,67.44,overcast clouds,55.7435,-97.8558,Burntwood Hotel
155,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
158,Koungou,YT,73.11,clear sky,-12.7336,45.2042,Villa Netibor
160,Langenburg,DE,66.9,broken clouds,49.2544,9.8458,Mawell Resort
161,Tadine,NC,71.65,overcast clouds,-21.55,167.8833,
166,Leh,IN,66.33,few clouds,34.1667,77.5833,Hotel Ladakh Greens
169,Nsanje,MW,70.59,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
174,Souillac,MU,70.65,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
180,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
181,Srednekolymsk,RU,74.79,overcast clouds,67.45,153.6833,
182,Yacuiba,BO,67.75,overcast clouds,-22.038,-63.6797,Hotel Monumental
188,Cherskiy,RU,63.88,overcast clouds,68.75,161.3,Gostinitsa
189,San Isidro,PE,66.02,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
192,Aklavik,CA,70.66,light rain,68.2191,-135.0107,Aklavik Inn
196,Parabel,RU,60.42,scattered clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
198,Ust-Kulom,RU,67.5,scattered clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
201,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
203,Kamaishi,JP,71.89,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
208,Zelenoborsk,RU,64.54,few clouds,61.4669,64.0333,
209,Biak,ID,74.23,overcast clouds,-0.9131,122.8766,Penginapan Kim
215,Nouadhibou,MR,69.85,clear sky,20.931,-17.0347,El Medina
217,Mbaiki,CF,73.33,light rain,3.8678,17.9892,Motel MBM
218,Torbay,CA,74.88,broken clouds,47.6666,-52.7314,Gallows Cove
221,Yatou,CN,73.54,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
223,Senneterre,CA,74.73,broken clouds,48.3835,-77.2328,Motel Senabi
225,Corum,TR,62.31,overcast clouds,40.5,34.75,
226,Guerrero Negro,MX,73.18,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
235,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
237,Saint-Philippe,RE,67.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
250,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
253,Beloha,MG,64.42,clear sky,-25.1667,45.05,
256,Luanda,AO,71.6,clear sky,-8.8368,13.2343,EPIC SANA Luanda
264,Sao Filipe,CV,74.25,scattered clouds,14.8961,-24.4956,Hotel Xaguate
267,Zambezi,ZM,61.2,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
272,Yaan,NG,73.81,light rain,7.3833,8.5667,
274,Loa Janan,ID,72.18,overcast clouds,-0.583,117.095,Kost bu jono
