,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Englewood,US,39.6478,-104.9878,76.23,59,100,6.91,overcast clouds
1,Jamestown,US,42.097,-79.2353,86.95,43,7,8.99,clear sky
2,Providencia,MX,28.7167,-111.5833,99.41,40,29,14.63,scattered clouds
3,Saint George,US,37.1041,-113.5841,105.44,14,0,3.0,clear sky
4,Fortuna,US,40.5982,-124.1573,79.93,68,20,4.0,few clouds
5,Busselton,AU,-33.65,115.3333,54.81,84,94,5.75,overcast clouds
6,Kaitangata,NZ,-46.2817,169.8464,46.09,83,100,16.24,overcast clouds
7,Kolyvan,RU,55.3053,82.7391,58.62,77,0,7.38,clear sky
8,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,3.44,broken clouds
9,The Valley,AI,18.217,-63.0578,87.66,70,40,16.11,scattered clouds
10,Ibra,OM,22.6906,58.5334,82.81,73,100,5.77,overcast clouds
11,Bethel,US,41.3712,-73.414,87.37,52,1,1.99,clear sky
12,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,0,23.02,clear sky
13,Lebu,CL,-37.6167,-73.65,50.05,72,26,10.96,scattered clouds
14,Isangel,VU,-19.55,169.2667,73.51,94,40,2.3,scattered clouds
15,Katiola,CI,8.1333,-5.1,79.43,89,41,3.56,scattered clouds
16,Vaini,TO,-21.2,-175.2,73.56,88,75,6.91,broken clouds
17,Ostrovnoy,RU,68.0531,39.5131,59.05,92,33,1.07,scattered clouds
18,Deputatskiy,RU,69.3,139.9,53.31,99,100,3.91,overcast clouds
19,Pochutla,MX,15.7432,-96.4661,90.82,58,26,6.69,scattered clouds
20,Carnarvon,AU,-24.8667,113.6333,64.26,52,0,11.97,clear sky
21,Khatanga,RU,71.9667,102.5,42.57,64,100,13.27,overcast clouds
22,Redding,US,40.5865,-122.3917,102.81,16,0,1.99,clear sky
23,Ribeira Grande,PT,38.5167,-28.7,73.8,73,20,12.66,few clouds
24,Port Elizabeth,ZA,-33.918,25.5701,55.31,88,0,8.05,clear sky
25,Cabo San Lucas,MX,22.8909,-109.9124,98.62,61,84,13.2,broken clouds
26,Chalus,IR,36.655,51.4204,78.26,78,0,0.0,clear sky
27,Hilo,US,19.7297,-155.09,79.61,77,100,4.0,overcast clouds
28,Dingle,PH,10.9995,122.6711,75.96,94,73,5.91,broken clouds
29,Rikitea,PF,-23.1203,-134.9692,74.5,75,9,13.24,light rain
30,Mungwi,ZM,-10.1732,31.3694,58.6,60,51,4.65,broken clouds
31,Lagoa,PT,39.05,-27.9833,68.59,77,63,6.51,broken clouds
32,Albany,US,42.6001,-73.9662,87.58,44,0,1.99,clear sky
33,Kapaa,US,22.0752,-159.319,80.58,79,93,5.99,overcast clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,94,100,9.22,mist
35,Pacasmayo,PE,-7.4006,-79.5714,67.32,71,47,17.09,scattered clouds
36,Pombia,IT,45.653,8.6336,85.26,43,0,6.91,clear sky
37,Bandarbeyla,SO,9.4942,50.8122,82.96,55,100,25.12,overcast clouds
38,Quatre Cocos,MU,-20.2078,57.7625,71.71,73,40,21.61,scattered clouds
39,Chumikan,RU,54.7183,135.315,51.49,100,100,3.67,overcast clouds
40,Talnakh,RU,69.4865,88.3972,45.21,69,59,14.81,broken clouds
41,Vila Velha,BR,-20.3297,-40.2925,75.15,88,100,8.05,overcast clouds
